"","X","PermitNum","PermitClass","BLA","Age","PermitClassMapped","PermitTypeMapped","PermitTypeDesc","Description","HousingUnits","HousingUnitsRemoved","HousingUnitsAdded","EstProjectCost","AppliedDate","IssuedDate","ExpiresDate","CompletedDate","StatusCurrent","OriginalAddress1","OriginalCity","OriginalState","OriginalZip","ContractorCompanyName","Link","Latitude","Longitude","Location1","Where.on.your.property.are.you.working..","Choose.the.Primary.Property.Use.","Project.Value.","Review.Level.","Application.Completed.Date.","Permit.Issued.Date.","Inspections.Completed.Date.","Certificate.of.Occupancy.Issued.Date.","Intake.Value..New.","Intake.Value..Alteration.","Total.Intake.Value.","Issue.Value..New.","Issue.Value..Alteration.","Total.Issued.Value.","What.building.code.was.used.for.your.design..","Specific.Building.Code.","Action.Type.","Number.of.Proposed.Building.Stories.","Number.of.Proposed.Below.Grade.Building.Stories.","Number.of.Mezzanines.","Will.you.change.the.building.use.or.occupancy..","Does.your.project.qualify.for.our.Priority.Green.Incentive.program..","Is.a.certificate.of.occupancy.required..","Land.Disturbing.Activity.","Are.you.doing.more.than.2.000.square.feet.of.earth.disturbance...","Number.of.Curb.Cuts.for.This.Permit.","Units.Occupancy.","Waste.Diversion.Plan.Required.","Are.Emergency.Systems.Required.for.this.Project..","Does.your.project.include.an.HVAC.mechanical.system..","Reuse.Existing.Side.Sewer.System.","Is.this.a.substantial.alteration..","Number.of.Existing.Building.Stories.","Number.of.Existing.Below.Grade.Building.Stories.","Sprinklers.Meet.NFPA.13.","Is.work.in.the.right.of.way..street.or.alley..required..","Total.Revision.Value.","Are.you.changing.the.envelope..","Is.this.a.high.rise..","Main.Existing.Use.of.Building.","Existing.Occupancy.","Will.your.application.include.a.new.standard.plan..","Will.your.project.have.ground.disturbance..","Sprinklers.Meet.NFPA.13R.","Partial.Fire.Protection.System.","Fire.Alarm.","Other.Fire.Protection.System.","Is.any.portion.of.the.building.semi.heated.or.unheated..","Compliance.Category.","Is.there.a.commercial.kitchen.hood.exhaust.system..","Is.there.a.fume.hood..","Is.there.a.spray.paint.booth..","Describe.any.other.mechanical.systems.to.be.installed.as.part.of.this.project..","Compliance.Path.","AFUE.Efficiency..percentage..","HSPF.Efficiency..percentage..","Heating.Fuel.Type.Proposed..Residential.","Request.Type.","Hansen.APNO.","Hansen.APKEY.","Survey.Submittal.Required..","Soils.Report.Required..","Wetlands.Report.Required.","ECA.Review.Required..","Riparian.Wetland.Buffer..square.feet..","Steep.Slope.Area.Buffer..square.feet..","Sequencing.Required.","What.is.the.amount.of.ground.disturbance..","I..the.owner.or.owner.s.authorized.representative.of.the.property.referenced.in.this.submission..give.the.City.of.Seattle.Department.of.Planning.and.Development.permission.to.conduct.a.Pre.Application.Site.Visit..I.agree.that..1..electronic.filing.constitutes.an.authorizing.signature..2..I.will.inform.all.tenants.of.the.site.visit.prior.to.the.inspection.being.conducted..and.3..if.conditions.such.as.uncontrolled.dogs.or.uncooperative.tenants.hinder.the.inspector.s.ability.to.conduct.the.site.visit..the.site.visit.will.not.occur.and.the.site.visit.fee.may.be.forfeited...","Type.of.Demolition.","Is.this.the.first.time.this.area.is.being.improved.or.built.out.since.the.building.was.completed..","Total.Area.of.Work..square.feet..","Actual.Construction.Value."
"4103",127678,"6722678-DM",NA,1,NA,NA,"Demolition","",NA,5,5,7,NA,"",NA,"2021-06-11",NA,"Issued","2368 FRANKLIN AVE E","SEATTLE","WA",98102,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6722678-DM",47.64170088,-122.32442152,"2368 FRANKLIN AVE E
SEATTLE, WA 98102
(47.64170088, -122.32442152)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4104",127680,"6724160-CN",NA,1,NA,NA,"Building","",NA,8,8,0,NA,"",NA,"",NA,"Corrections Submitted","1812 12TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6724160-CN",47.61804159,-122.3165998,"1812 12TH AVE
SEATTLE, WA 98122
(47.61804159, -122.3165998)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4105",127725,"6766295-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"",NA,"Scheduled","4017 41ST AVE SW","SEATTLE","WA",98116,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6766295-CN",47.56781642,-122.38438162,"4017 41ST AVE SW
SEATTLE, WA 98116
(47.56781642, -122.38438162)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4106",127735,"6705760-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-06-30",NA,"Completed","7033 56TH AVE NE","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6705760-CN",47.68040226,-122.26810063,"7033 56TH AVE NE
SEATTLE, WA 98115
(47.68040226, -122.26810063)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4107",127795,"6674300-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-09-30",NA,"Completed","7553 34TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6674300-CN",47.53401666,-122.37559985,"7553 34TH AVE SW
SEATTLE, WA 98126
(47.53401666, -122.37559985)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4108",127802,"6721311-DM",NA,1,NA,NA,"Demolition","",NA,29,29,0,NA,"",NA,"",NA,"Application Completed","1009 ALDER ST","SEATTLE","WA",98104,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6721311-DM",47.60390937,-122.32118054,"1009 ALDER ST
SEATTLE, WA 98104
(47.60390937, -122.32118054)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4109",127810,"6726299-CN",NA,1,NA,NA,"Building","",NA,1,1,20,NA,"",NA,"",NA,"Application Completed","9746 HOLMAN RD NW","SEATTLE","WA",98117,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6726299-CN",47.70035435,-122.36423577,"9746 HOLMAN RD NW
SEATTLE, WA 98117
(47.70035435, -122.36423577)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4110",127826,"6632181-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"2020-02-01",NA,"Issued","6018 46TH AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6632181-CN",47.54795337,-122.39092077,"6018 46TH AVE SW
SEATTLE, WA 98136
(47.54795337, -122.39092077)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4111",127859,"6704588-DM",NA,1,NA,NA,"Demolition","",NA,2,2,4,NA,"",NA,"2021-01-19",NA,"Issued","3603 WHITMAN AVE N","","",NA,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6704588-DM",47.65100016,-122.3462731,"3603 WHITMAN AVE N
(47.65100016, -122.3462731)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4112",127870,"6710013-DM",NA,1,NA,NA,"Demolition","",NA,1,0,0,NA,"",NA,"",NA,"Additional Info Requested","5145 26TH AVE NE","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6710013-DM",47.66773374,-122.29984927,"5145 26TH AVE NE
SEATTLE, WA 98105
(47.66773374, -122.29984927)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4113",127880,"6711956-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-12-18",NA,"Issued","5311 46TH AVE SW","SEATTLE","WA",98136,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711956-CN",47.55442875,-122.39094045,"5311 46TH AVE SW
SEATTLE, WA 98136
(47.55442875, -122.39094045)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4114",127881,"6682528-CN",NA,1,NA,NA,"Building","",NA,2,0,4,NA,"",NA,"",NA,"Scheduled","829 24TH AVE S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6682528-CN",47.59474431,-122.30166367,"829 24TH AVE S
SEATTLE, WA 98144
(47.59474431, -122.30166367)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4115",127887,"6720755-DM",NA,1,NA,NA,"Demolition","",NA,1,1,6,NA,"",NA,"2021-04-08",NA,"Completed","2606 E YESLER WAY","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6720755-DM",47.60187381,-122.29850594,"2606 E YESLER WAY
SEATTLE, WA 98122
(47.60187381, -122.29850594)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4116",127932,"6688888-CN",NA,1,NA,NA,"Building","",NA,1,1,8,NA,"",NA,"2021-03-25",NA,"Issued","1801 A 20TH AVE","SEATTLE","WA",98122,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6688888-CN",47.61779409,-122.30630784,"1801 A 20TH AVE
SEATTLE, WA 98122
(47.61779409, -122.30630784)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4117",127975,"6684552-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2020-11-23",NA,"Issued","707 W FLORENTIA PL","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6684552-CN",47.64711666,-122.36658619,"707 W FLORENTIA PL
SEATTLE, WA 98119
(47.64711666, -122.36658619)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4118",127990,"6711399-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"",NA,"Scheduled","518 B NE 91ST ST","SEATTLE","WA",98115,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711399-CN",47.69513961,-122.32207566,"518 B NE 91ST ST
SEATTLE, WA 98115
(47.69513961, -122.32207566)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4119",127998,"6747055-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"2021-04-30",NA,"Issued","2415 11TH AVE W","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6747055-CN",47.64010927,-122.37191167,"2415 11TH AVE W
SEATTLE, WA 98119
(47.64010927, -122.37191167)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4120",128046,"6761670-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"",NA,"Additional Info Requested","1139 Federal AVE E","","",NA,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6761670-CN",47.62982841,-122.31945558,"1139 Federal AVE E
(47.62982841, -122.31945558)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4121",128052,"6739651-CN",NA,1,NA,NA,"Building","",NA,3,0,0,NA,"",NA,"2021-05-07",NA,"Issued","222 W HIGHLAND DR","SEATTLE","WA",98119,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6739651-CN",47.62985887,-122.36032238,"222 W HIGHLAND DR
SEATTLE, WA 98119
(47.62985887, -122.36032238)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4122",128075,"6711238-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"",NA,"Withdrawn","5118 S ANGELINE ST","SEATTLE","WA",98118,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6711238-CN",47.55963419,-122.26871045,"5118 S ANGELINE ST
SEATTLE, WA 98118
(47.55963419, -122.26871045)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4123",128093,"6753861-CN",NA,1,NA,NA,"Building","",NA,1,1,1,NA,"",NA,"",NA,"Scheduled","4117 38TH AVE SW","SEATTLE","WA",98126,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6753861-CN",47.56592831,-122.38047771,"4117 38TH AVE SW
SEATTLE, WA 98126
(47.56592831, -122.38047771)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4124",128137,"6699481-CN",NA,1,NA,NA,"Building","",NA,1,0,0,NA,"",NA,"2021-05-07",NA,"Issued","5303 NE 43RD ST","SEATTLE","WA",98105,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6699481-CN",47.65927028,-122.27085889,"5303 NE 43RD ST
SEATTLE, WA 98105
(47.65927028, -122.27085889)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4125",128162,"6736320-DM",NA,1,NA,NA,"Demolition","",NA,4,4,94,NA,"",NA,"",NA,"Additional Info Requested","845 NE 68th ST","SEATTLE","WA",NA,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6736320-DM",47.67783039,-122.31821073,"845 NE 68th ST
SEATTLE, WA
(47.67783039, -122.31821073)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
"4126",128232,"6691116-CN",NA,1,NA,NA,"Building","",NA,1,0,1,NA,"",NA,"",NA,"Additional Info Requested","950 HIAWATHA PL S","SEATTLE","WA",98144,"","https://cosaccela.seattle.gov/portal/customize/LinkToRecord.aspx?altId=6691116-CN",47.5931319,-122.30778924,"950 HIAWATHA PL S
SEATTLE, WA 98144
(47.5931319, -122.30778924)","","",NA,"","","","","",NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,"","","","","",NA,"","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","","","","",NA,NA,"","",NA,NA,"","","","",NA,NA,"","","","","",NA,NA
